rv0461	25.29	24	61	0.8926
rv0462	15.95	146	174	0.7598
rv0463	14.43	1	14	0.7446
rv0464c	22.63	89	103	0.5653
rv0465c	12.66	26	39	0.6038
rv0466	34.09	200	221	0.6747
rv0468	51.05	11	65	0.7602
rv0469	5.94	107	115	0.5746
rv0470a	45.21	95	146	0.7618
rv0471c	47.53	101	134	0.8051
rv0472c	31.20	8	31	0.7989
rv0473	20.39	400	417	0.6382
rv0474	62.14	37	69	0.7514
rv0476	19.54	78	87	0.7218
rv0477	46.62	14	43	0.8697
rv0478	35.27	171	197	0.6806
rv0479c	31.61	1	70	0.9359
rv0480c	28.21	196	243	0.8884
rv0481c	33.91	114	131	0.7218
rv0482	29.81	204	237	0.6661
rv0483	21.29	412	451	0.9163
rv0484c	17.53	168	183	0.678
rv0485	46.80	253	289	0.8308
rv0486	34.58	16	43	0.8278
rv0487	32.24	18	40	0.8255
rv0488	16.42	82	95	0.7321
rv0489	23.29	228	249	0.7635
rv0492c	31.16	119	163	0.6762
rv0492a	11.01	101	109	0.8365
rv0493c	15.20	1	16	0.7295
rv0494	42.56	121	145	0.6662
rv0495c	26.35	120	152	0.7594
rv0496	60.67	288	328	0.8653
rv0497	59.68	66	161	0.8529
rv0498	28.57	145	169	0.7262
rv0499	35.05	110	165	0.793
rv0500	47.12	205	238	0.7612
rv0500a	21.79	1	12	0.8104
rv0500b	100.00	1	33	0.9104
rv0501	31.91	353	374	0.7523
rv0502	26.26	14	81	0.7232
rv0503c	18.54	1	19	0.8249
rv0504c	34.94	120	160	0.7286
rv0505c	39.14	36	115	0.8655
rv0506	17.01	124	139	0.6823
rv0507	21.38	155	188	0.6855
rv0508	39.18	21	38	0.6494
rv0509	46.79	405	468	0.7266
rv0510	38.51	226	256	0.7245
rv0511	49.91	46	116	0.8697
rv0512	36.78	221	249	0.755
rv0513	45.60	78	117	0.7047
rv0514	41.41	27	49	0.691
rv0515	39.76	436	475	0.8377
rv0516c	45.57	1	24	0.6978
rv0517	21.79	396	436	0.7883
rv0518	23.81	153	171	0.6305
rv0519c	24.00	88	107	0.8
rv0520	14.66	16	32	0.8055
rv0521	34.65	32	47	0.7297
rv0522	7.37	197	214	0.7539
rv0523c	22.90	86	97	0.7101
